cite,question_id,question,choices,answer,chapter
간이귀화는 대한민국과 일정한 관계가 있는 외국인이 대한민국 국적을 취득하는 절차이다.,637,간이귀화란 무엇인가?,"1. 대한민국과 아무런 혈연적, 지연적 관계가 없는 외국인이 대한민국 국적을 취득하는 절차
2. 대한민국과 일정한 관계가 있는 외국인이 대한민국 국적을 취득하는 절차
3. 외국인이 대한민국 국적을 포기하는 절차
4. 외국인이 복수 국적을 취득하는 절차
",대한민국과 일정한 관계가 있는 외국인이 대한민국 국적을 취득하는 절차,32.0
"혼인귀화도 간이 귀화에 해당한다. 한국 국민인 배우자와 혼인한 상태로 2년 이상 계속 한국에 주소를 가지고 있거나, 혼인 후 3년이 지나고 1년 이상 계속 한국에 주소를 가지고 있는 외국인은 귀화를 신청할 수 있다.",638,혼인귀화를 신청할 수 있는 조건은 무엇인가?,"1. 한국 국민인 배우자와 혼인한 상태로 2년 이상 계속 한국에 주소를 가지고 있거나, 혼인 후 3년이 지나고 1년 이상 계속 한국에 주소를 가지고 있는 외국인
2. 한국 국민인 배우자와 혼인한 상태로 1년 이상 계속 한국에 주소를 가지고 있는 외국인
3. 한국 국민인 배우자와 혼인한 상태로 3년 이상 계속 한국에 주소를 가지고 있는 외국인
4. 한국 국민인 배우자와 혼인한 상태로 5년 이상 계속 한국에 주소를 가지고 있는 외국인
","한국 국민인 배우자와 혼인한 상태로 2년 이상 계속 한국에 주소를 가지고 있거나, 혼인 후 3년이 지나고 1년 이상 계속 한국에 주소를 가지고 있는 외국인",32.0
"귀화에는 일반귀화, 간이귀화, 특별귀화의 3가지 유형이 있다.",639,귀화에는 몇 가지 유형이 있는가?,"1. 2가지
2. 3가지
3. 4가지
4. 5가지
",3가지,32.0
"에서 태어났으며 본인도 한국에서 태어난 경우, 성년일 때 입양되어 한국 국민의 양자가 된 경우에 간이 귀화신청이 가능하다.",640,"한국에서 태어난 경우, 어떤 경우에 간이 귀화 신청이 가능한가?","1. 성년일 때 입양되어 한국 국민의 양자가 된 경우
2. 성년일 때 한국에 거주하고 있는 경우
3. 성년일 때 한국 국민과 결혼한 경우
4. 성년일 때 한국에서 일한 경우
",성년일 때 입양되어 한국 국민의 양자가 된 경우,32.0
"혼인귀화도 간이 귀화에 해당한다. 한국 국민인 배우자와 혼인한 상태로 2년 이상 계속 한국에 주소를 가지고 있거나, 혼인 후 3년이 지나고 1년 이상 계속 한국에 주소를 가지고 있는 외국인은 귀화를 신청할 수 있다.",641,한국 국민과 혼인한 외국인이 귀화를 신청할 수 있는 조건은 무엇인가?,"1. 혼인한 상태로 2년 이상 계속 한국에 주소를 가지고 있는 경우
2. 혼인 후 3년이 지나고 1년 이상 계속 한국에 주소를 가지고 있는 경우
3. 혼인한 상태로 1년 이상 계속 한국에 주소를 가지고 있는 경우
4. 혼인 후 2년이 지나고 1년 이상 계속 한국에 주소를 가지고 있는 경우
",혼인한 상태로 2년 이상 계속 한국에 주소를 가지고 있는 경우,32.0
특별귀화는 부모 중 어느 한쪽이 한국 국민이거나 대한민국에 특별한 공로가 있는 등의 경우에 한해 한국에 주소를 두고 있을 때 국적을 부여하는 제도이다.,642,특별귀화는 어떤 경우에 가능한가?,"1. 부모 중 어느 한쪽이 한국 국민인 경우
2. 대한민국에 특별한 공로가 있는 경우
3. 한국에 주소를 두고 있는 경우
4. 모든 경우
",부모 중 어느 한쪽이 한국 국민인 경우,32.0
40년 봉사 벨기에인·고려인2세 교육자 특별귀화 허가 법무부는 지난 20015년 10월 31일 특별귀화허가를 받아 한국 국적을 취득한 특별 공로자 두 명에 대한 국적증서를 수여했다.,643,법무부는 언제 특별 공로자 두 명에게 국적증서를 수여했는가?,"1. 20015년 10월 31일
2. 2015년 10월 31일
3. 2010년 10월 31일
4. 2005년 10월 31일
",20015년 10월 31일,32.0
브라서 마리 헬렌씨는 1972년 26세 때에 벨기에를 떠나 한국에 머물며 고(故) 김수환 추기경의 추천으로 1975년 서울 시흥동 판자촌에 무료 진료소를 열었다.,644,브라서 마리 헬렌씨가 한국에서 무료 진료소를 열었던 장소는 어디인가?,"1. 서울 강남구
2. 서울 종로구
3. 서울 시흥동
4. 서울 동대문구
",서울 시흥동,32.0
"엄넬리 박사는 고려인 2세로 모스크바 소재 중, 고교에서 교장으로 재직하다 1992년 한민족학교를 설립해 한국어 보급교육을 해왔다.",645,엄넬리 박사가 설립한 학교의 이름은 무엇인가?,"1. 한민족학교
2. 한국어학교
3. 한국문화학교
4. 한국사학교
",한민족학교,32.0
이 두 사람은 외국 국적 불행사 서약을 하면 갖고 있던 외국국적을 포기하지 않고도 국내에서 한국민으로서의 지위를 가질 수 있다.,646,외국 국적 불행사 서약을 한 사람이 국내에서 가질 수 있는 지위는 무엇인가?,"1. 한국민
2. 외국인
3. 이중국적자
4. 비자 소지자
",한국민,32.0
이에 올해 올해의 이민자 상(대통령표창)을 수상한 바 있다.,647,올해의 이민자 상은 누가 수여하는 상인가?,"1. 국회의장
2. 대통령
3. 국무총리
4. 법무부 장관
",대통령,32.0
"이 공로로 1998년 대통령 표창, 2002년 국민포장, 2007년 국민훈장 목련장을 받았다.",648,엄넬리 박사가 받은 표창과 상은 무엇인가?,"1. 대통령 표창, 국민포장, 국민훈장 목련장
2. 대통령 표창, 국민포장, 국민훈장 동백장
3. 대통령 표창, 국민포장, 국민훈장 장미장
4. 대통령 표창, 국민포장, 국민훈장 국화장
","대통령 표창, 국민포장, 국민훈장 목련장",32.0
귀화한 특별공로자는 벨기에 국적의 브라서 마리 헬렌 전진상의원 원장과 러시아 국적의 엄넬리 박사다.,649,특별공로자로 귀화한 두 사람의 국적과 이름은 무엇인가?,"1. 벨기에 국적의 브라서 마리 헬렌, 러시아 국적의 엄넬리 박사
2. 러시아 국적의 브라서 마리 헬렌, 벨기에 국적의 엄넬리 박사
3. 벨기에 국적의 엄넬리 박사, 러시아 국적의 브라서 마리 헬렌
4. 러시아 국적의 엄넬리 박사, 벨기에 국적의 브라서 마리 헬렌
","벨기에 국적의 브라서 마리 헬렌, 러시아 국적의 엄넬리 박사",32.0
한국에서는 한 사건에 대해 3번까지 재판을 받을 수 있도록 하고 있는데 이를 가리켜 ‘3심 제도’라고 부른다.,330,한국에서는 한 사건에 대해 몇 번까지 재판을 받을 수 있도록 하고 있는가?,"1. 1번
2. 2번
3. 3번
4. 4번
",3번,33.0
1심 재판은 지방법원에서 이루어지고 결과가 불공정하다고 생각 되면 고등법원이나 지방법원 합의부에서 이루어지는 2심 재판을 받을 수 있다.,331,1심 재판은 어디에서 이루어지는가?,"1. 대법원
2. 고등법원
3. 지방법원
4. 헌법재판소
",지방법원,33.0
법을 집행하는 기관은 어디일까? 다른 나라와 마찬가지로 한국에도 사회질서를 유지하기 위해 법을 집행하는 국가 기관들이 있다.,332,한국에서 법을 집행하는 기관은 무엇인가?,"1. 경찰과 검찰
2. 국회
3. 정부
4. 헌법재판소
",경찰과 검찰,33.0
"법집행기관은 직접 나서서 범죄 용의자를 잡아들여 조사하기도 하고, 피해자나 일반 국민의 고소나 신고를 통해 범죄 용의자에 대한 조사를 시작하기도 한다.",333,법집행기관이 범죄 용의자에 대한 조사를 시작하는 방법은 무엇인가?,"1. 직접 나서서 범죄 용의자를 잡아들여 조사
2. 피해자나 일반 국민의 고소나 신고를 통해 조사를 시작
3. 범죄 용의자의 자백을 통해 조사를 시작
4. A와 B
",A와 B,33.0
"법 집행기관으로서 대한민국 경찰은 국민의 생명과 신체, 재산의 보호, 범죄의 예방과 진압 및 수사, 교통 단속과 위해 방지, 그 밖의 질서유지 등의 일을 한다.",334,대한민국 경찰의 주요 역할은 무엇인가?,"1. 국민의 생명과 신체, 재산의 보호
2. 범죄의 예방과 진압 및 수사
3. 교통 단속과 위해 방지
4. 모두 맞음
",모두 맞음,33.0
경찰서나 지구대를 직접 찾아가지 않더라도 112에 전화신고를 하는 것만으로도 경찰의 도움을 받을 수 있다.,335,경찰의 도움을 받기 위해 어떤 전화번호로 신고를 할 수 있는가?,"1. 119
2. 112
3. 114
4. 120
",112,33.0
"대한민국 검찰 역시 법 집행기관으로서, 국민 모두가 안심하고 생활할 수 있는 안전한 사회를 만들기 위해 범죄를 수사하고 법을 집행하는 일을 한다.",336,대한민국 검찰의 주요 역할은 무엇인가?,"1. 범죄를 수사하고 법을 집행하는 일
2. 국민의 생명과 신체, 재산의 보호
3. 교통 단속과 위해 방지
4. 질서유지
",범죄를 수사하고 법을 집행하는 일,33.0
"검찰은 기본적으로 경찰의 수사를 지휘하기도 하고, 범죄자에 대한 재판을 법원에 청구할 수 있는 권한을 가지고 있다는 점, 재판과정에 직접 참여하여 범죄자에 대한 처벌을 요구한다는 점 등에서 경찰과는 다른 역할을 담당하고 있다.",337,검찰이 경찰과 다르게 가지고 있는 권한은 무엇인가?,"1. 범죄자에 대한 재판을 법원에 청구할 수 있는 권한
2. 재판과정에 직접 참여하여 범죄자에 대한 처벌을 요구하는 권한
3. 경찰의 수사를 지휘하는 권한
4. 모두 맞음
",모두 맞음,33.0
"법집행 기관의 수사 결과, 용의자의 법 위반 사실이 있다고 판단될 경우 검찰은 범죄자를 처벌해 달라고 법원에 재판을 신청한다.",338,"법집행 기관의 수사 결과, 용의자의 법 위반 사실이 있다고 판단될 경우 어떤 조치를 취하는가?","1. 범죄자를 직접 처벌한다
2. 범죄자를 처벌해 달라고 법원에 재판을 신청한다
3. 범죄자를 경찰에게 인계한다
4. 범죄자를 해외로 추방한다
",범죄자를 처벌해 달라고 법원에 재판을 신청한다,33.0
또다시 결과가 불공정하다 고 생각되면 대법원에서 3심 재판을 받을 수 있다.,339,3심 재판은 어디에서 이루어지는가?,"1. 지방법원
2. 고등법원
3. 대법원
4. 헌법재판소
",대법원,33.0
"대한 수사를 한다는 점에서는 경찰과 비슷한 점도 있지만, 검찰은 기본적으로 경찰의 수사를 지휘하기도 하고, 범죄자에 대한 재판을 법원에 청구할 수 있는 권한을 가지고 있다는 점, 재판과정에 직접 참여하여 범죄자에 대한 처벌을 요구한다는 점 등에서 경찰과는 다른 역할을 담당하고 있다.",340,검찰이 경찰과 다른 역할을 담당하는 것은 무엇인가?,"1. 수사를 지휘하는 것
2. 범죄자에 대한 재판을 법원에 청구할 수 있는 것
3. 재판과정에 직접 참여하여 범죄자에 대한 처벌을 요구하는 것
4. 모두
",모두,33.0
특별사법경찰이란? 특사경이라고도 불리는 특별사법경찰관은 경찰은 아니지만 법에 의해 사법경찰관의 직무를 행하는 자이다.,341,특별사법경찰관이란 무엇인가?,"1. 경찰의 일종
2. 법에 의해 사법경찰관의 직무를 행하는 자
3. 범죄자에 대한 처벌을 요구하는 자
4. 수사를 지휘하는 자
",법에 의해 사법경찰관의 직무를 행하는 자,33.0
오늘날 경찰이 직접 직무를 수행하기 힘든 전문적인 분야에서 특별사법경찰관이 경찰의 역할을 수행하고 있다.,342,특별사법경찰관이 경찰의 역할을 수행하는 경우는 어떤 경우인가?,"1. 경찰이 직접 직무를 수행하기 힘든 전문적인 분야
2. 범죄자에 대한 처벌을 요구하는 경우
3. 재판을 법원에 청구하는 경우
4. 수사를 지휘하는 경우
",경찰이 직접 직무를 수행하기 힘든 전문적인 분야,33.0
예를 들면 출입국관리사무소나 세관 등의 담당 직원들이 경찰을 대신해 직접 수사를 하는 것이다.,343,특별사법경찰관의 예로 어떤 것이 있을까?,"1. 출입국관리사무소나 세관의 담당 직원들
2. 검찰
3. 법원
4. 경찰
",출입국관리사무소나 세관의 담당 직원들,33.0
이들 또한 법에 의해 권한을 부여 받은 법집행기관의 구성원들이다.,344,특별사법경찰관은 어떤 기관의 구성원인가?,"1. 법집행기관
2. 검찰
3. 법원
4. 경찰
",법집행기관,33.0
특별사법경찰이란? 특사경이라고도 불리는 특별사법경찰관은 경찰은 아니지만 법에 의해 사법경찰관의 직무를 행하는 자이다.,345,특별사법경찰관을 다른 말로 무엇이라고 부르는가?,"1. 특사경
2. 경찰
3. 검찰
4. 법원
",특사경,33.0
"검찰은 기본적으로 경찰의 수사를 지휘하기도 하고, 범죄자에 대한 재판을 법원에 청구할 수 있는 권한을 가지고 있다는 점, 재판과정에 직접 참여하여 범죄자에 대한 처벌을 요구한다는 점 등에서 경찰과는 다른 역할을 담당하고 있다.",346,검찰이 가지고 있는 권한은 무엇인가?,"1. 경찰의 수사를 지휘하는 것
2. 범죄자에 대한 재판을 법원에 청구할 수 있는 것
3. 재판과정에 직접 참여하여 범죄자에 대한 처벌을 요구하는 것
4. 모두
",모두,33.0
오늘날 경찰이 직접 직무를 수행하기 힘든 전문적인 분야에서 특별사법경찰관이 경찰의 역할을 수행하고 있다.,347,특별사법경찰관이 경찰의 역할을 수행하는 이유는 무엇인가?,"1. 경찰이 직접 직무를 수행하기 힘든 전문적인 분야 때문
2. 범죄자에 대한 처벌을 요구하기 때문
3. 재판을 법원에 청구하기 때문
4. 수사를 지휘하기 때문
",경찰이 직접 직무를 수행하기 힘든 전문적인 분야 때문,33.0
예를 들면 출입국관리사무소나 세관 등의 담당 직원들이 경찰을 대신해 직접 수사를 하는 것이다.,348,출입국관리사무소나 세관의 담당 직원들이 하는 역할은 무엇인가?,"1. 경찰을 대신해 직접 수사하는 것
2. 범죄자에 대한 처벌을 요구하는 것
3. 재판을 법원에 청구하는 것
4. 수사를 지휘하는 것
",경찰을 대신해 직접 수사하는 것,33.0
이들 또한 법에 의해 권한을 부여 받은 법집행기관의 구성원들이다.,349,특별사법경찰관이 받는 권한은 어디에서 부여받는가?,"1. 법
2. 검찰
3. 법원
4. 경찰
",법,33.0
재산과 관련된 문제는 어떻게 해결해야 할까? 다른 사람들과 중요한 약속을 하거나 거래를 할 때 법을 잘 알지 못하여 어려움을 겪는 경우가 생길 수 있다.,770,다른 사람들과 중요한 약속을 하거나 거래를 할 때 어떤 어려움이 생길 수 있는가?,"1. 법을 잘 알지 못하여 어려움을 겪는다
2. 계약서를 잘 작성하지 못한다
3. 돈을 빌려주지 않는다
4. 부동산 계약을 하지 않는다
",법을 잘 알지 못하여 어려움을 겪는다,34.0
다른 사람과 돈을 주고받는 거래를 할 때는 계약서를 작성하는 것이 좋다.,771,다른 사람과 돈을 주고받는 거래를 할 때 어떤 절차를 거쳐야 하는가?,"1. 계약서를 작성한다
2. 돈을 빌려준다
3. 돈을 빌린다
4. 부동산 계약을 한다
",계약서를 작성한다,34.0
"차용증에는 돈을 빌리는 사람과 빌려주는 사람의 이름과 서명, 빌린 돈의 액수, 이자, 돈을 갚을 날짜 등이 기록된다.",772,차용증에 기록되어야 하는 정보는 무엇인가?,"1. 돈을 빌리는 사람과 빌려주는 사람의 이름과 서명, 빌린 돈의 액수, 이자, 돈을 갚을 날짜
2. 빌린 돈의 액수, 이자, 돈을 갚을 날짜
3. 돈을 빌리는 사람과 빌려주는 사람의 이름과 서명, 빌린 돈의 액수
4. 돈을 빌리는 사람과 빌려주는 사람의 이름과 서명, 이자, 돈을 갚을 날짜
","돈을 빌리는 사람과 빌려주는 사람의 이름과 서명, 빌린 돈의 액수, 이자, 돈을 갚을 날짜",34.0
"특히 계약서와 함께 해당 부동산의 등기부등본을 반드시 확인하고 계약하는 사람이 실제 집주인이 맞는지, 해당 부동산에 다른 법적인 문제가 없는지를 자세히 확인해야 한다.",773,부동산 계약을 할 때 반드시 확인해야 하는 것은 무엇인가?,"1. 계약서와 함께 해당 부동산의 등기부등본
2. 계약서와 함께 해당 부동산의 가격
3. 계약서와 함께 해당 부동산의 위치
4. 계약서와 함께 해당 부동산의 크기
",계약서와 함께 해당 부동산의 등기부등본,34.0
외국인이 한국에서 생활하면서 여러 가지 계약을 맺을 때에는 법무사나 변호사 등 법률전문가의 도움을 받는 것이 좋다.,774,외국인이 한국에서 계약을 맺을 때 어떤 도움을 받는 것이 좋은가?,"1. 법무사나 변호사 등 법률전문가의 도움
2. 부동산 중개사의 도움
3. 한국인 친구의 도움
4. 한국어 교사의 도움
",법무사나 변호사 등 법률전문가의 도움,34.0
법무사는 법원이나 검찰 등에 내야 하는 서류를 대신해서 작성해 준다.,775,법무사의 역할은 무엇인가?,"1. 법원이나 검찰 등에 내야 하는 서류를 대신해서 작성한다
2. 재산 문제에 관한 재판을 한다
3. 계약서를 작성한다
4. 부동산 계약을 한다
",법원이나 검찰 등에 내야 하는 서류를 대신해서 작성한다,34.0
변호사는 재산 문제에 관한 재판을 할 때 상담 및 변호 등과 같은 도움을 줄 수 있다.,776,변호사가 제공하는 서비스는 무엇인가?,"1. 재산 문제에 관한 재판을 할 때 상담 및 변호
2. 계약서 작성
3. 법원이나 검찰 등에 내야 하는 서류 작성
4. 부동산 계약
",재산 문제에 관한 재판을 할 때 상담 및 변호,34.0
특히 부동산과 관련된 계약을 할 때에는 공인 중개사를 통하면 비교적 안전하게 거래할 수 있다.,777,부동산과 관련된 계약을 할 때 어떻게 하면 비교적 안전하게 거래할 수 있는가?,"1. 공인 중개사를 통한다
2. 법무사를 통한다
3. 변호사를 통한다
4. 직접 거래한다
",공인 중개사를 통한다,34.0
다른 사람이 소유한 집에 전세나 월세로 사는 사람을 보호하는 법을 ‘주택임대차 보호법’이라고 한다.,778,전세나 월세로 사는 사람을 보호하는 법은 무엇인가?,"1. 주택임대차 보호법
2. 부동산 보호법
3. 전세 보호법
4. 월세 보호법
",주택임대차 보호법,34.0
임대차 계약은 보통 2년을 기간으로 한다.,779,임대차 계약의 보통 기간은 얼마인가?,"1. 2년
2. 1년
3. 3년
4. 5년
",2년,34.0
중개사를 통하면 비교적 안전하게 거래할 수 있다.,780,중개사를 통해 거래하면 어떤 이점이 있나요?,"1. 비교적 안전하게 거래할 수 있다
2. 비교적 불안전하게 거래할 수 있다
3. 비교적 빠르게 거래할 수 있다
4. 비교적 느리게 거래할 수 있다
",비교적 안전하게 거래할 수 있다,34.0
다른 사람이 소유한 집에 전세나 월세로 사는 사람을 보호하는 법을 ‘주택임대차 보호법’이라고 한다.,781,전세나 월세로 사는 사람을 보호하는 법은 무엇인가요?,"1. 주택임대차 보호법
2. 주택임대차 보호규칙
3. 주택임대차 보호조례
4. 주택임대차 보호지침
",주택임대차 보호법,34.0
임대차 계약은 보통 2년을 기간으로 한다.,782,임대차 계약의 보통 기간은 얼마인가요?,"1. 1년
2. 2년
3. 3년
4. 4년
",2년,34.0
외국인도 체류지 변경신고를 하고 확정일자를 받아두면 주택임대차 보호법에 따른 보호를 받을 수 있다.,783,외국인이 주택임대차 보호법에 따른 보호를 받으려면 어떤 절차를 밟아야 하나요?,"1. 체류지 변경신고를 하고 확정일자를 받아둔다
2. 체류지 변경신고를 하고 확정일자를 받지 않는다
3. 체류지 변경신고를 하지 않고 확정일자를 받아둔다
4. 체류지 변경신고를 하지 않고 확정일자를 받지 않는다
",체류지 변경신고를 하고 확정일자를 받아둔다,34.0
"한국에서 결혼을 하기 위해서는 만 18세 이상이 되어야 하고, 그보다 어린 경우에는 반드시 부모의 동의를 얻어야 한다.",784,한국에서 결혼을 하기 위한 최소 나이는 몇 세인가요?,"1. 16세
2. 17세
3. 18세
4. 19세
",18세,34.0
"두 사람이 정식으로 부부로 인정받기 위해서는 시청, 구청, 군청 등에 혼인신고를 해야 한다.",785,한국에서 부부로 인정받기 위해 어디에 신고해야 하나요?,"1. 시청, 구청, 군청
2. 경찰서, 소방서
3. 병원, 약국
4. 학교, 도서관
","시청, 구청, 군청",34.0
부부는 특별한 이유 없이 함께 사는 것을 거부할 수 없다.,786,부부는 특별한 이유 없이 어떤 것을 거부할 수 없나요?,"1. 함께 사는 것
2. 함께 먹는 것
3. 함께 여행하는 것
4. 함께 일하는 것
",함께 사는 것,34.0
"법적으로는 가정주부가 집안에서 하는 요리, 청소 등과 같은 가사노동도 생활비를 벌어온 것으로 인정된다.",787,법적으로 가정주부의 어떤 활동이 생활비를 벌어온 것으로 인정되나요?,"1. 요리, 청소 등의 가사노동
2. 쇼핑, 외식 등의 여가활동
3. 독서, 영화 감상 등의 문화활동
4. 운동, 걷기 등의 건강활동
","요리, 청소 등의 가사노동",34.0
부부로서의 관계를 끊고 싶을 때에는 합의나 재판에 의해 이혼을 할 수 있다.,788,부부가 관계를 끊고 싶을 때 어떤 방법을 통해 이혼할 수 있나요?,"1. 합의나 재판에 의해
2. 합의나 중재에 의해
3. 합의나 조정에 의해
4. 합의나 협상에 의해
",합의나 재판에 의해,34.0
만약 집주인이 보증금을 돌려주지 않으면 세 들어 사는 사람은 보증금을 돌려받을 때까지 집에서 나가지 않아도 된다.,789,"집주인이 보증금을 돌려주지 않을 경우, 임차인은 어떤 조치를 취할 수 있나요?","1. 보증금을 돌려받을 때까지 집에서 나가지 않아도 된다
2. 보증금을 돌려받을 때까지 집에서 나가야 한다
3. 보증금을 돌려받을 때까지 집에서 나가야 하는 경우가 있다
4. 보증금을 돌려받을 때까지 집에서 나가지 않아도 되는 경우가 있다
",보증금을 돌려받을 때까지 집에서 나가지 않아도 된다,34.0
"일반적으로 남편이나 아내가 직장, 가게 등에서 벌어들인 돈으로 생활하는데, 법적으로는 가정주부가 집안에서 하는 요리, 청소 등과 같은 가사노동도 생활비를 벌어온 것으로 인정된다.",790,법적으로 가정주부가 하는 가사노동은 어떻게 인정되는가?,"1. 생활비를 벌어온 것으로 인정된다
2. 직업으로 인정된다
3. 별도의 수입으로 인정된다
4. 봉사활동으로 인정된다
",생활비를 벌어온 것으로 인정된다,34.0
부부로서의 관계를 끊고 싶을 때에는 합의나 재판에 의해 이혼을 할 수 있다.,791,부부가 이혼을 하려면 어떤 방법을 사용할 수 있는가?,"1. 합의나 재판
2. 부모의 동의
3. 자녀의 동의
4. 가족회의
",합의나 재판,34.0
만약 양측이 모두 이혼을 원하면 가정법원의 확인을 받아서 이혼할 수 있다.,792,양측이 모두 이혼을 원할 때 어떤 절차를 거치는가?,"1. 가정법원의 확인을 받는다
2. 변호사를 통해 이혼한다
3. 직접 서류를 제출한다
4. 가족회의를 거친다
",가정법원의 확인을 받는다,34.0
이혼을 하는데 원인을 제공하고 잘못이 있는 배우자는 상대방에게 위자료를 지급해야 한다.,793,이혼 원인을 제공하고 잘못이 있는 배우자는 무엇을 해야 하는가?,"1. 상대방에게 위자료를 지급해야 한다
2. 자녀 양육비를 지급해야 한다
3. 재산을 분할해야 한다
4. 이혼 비용을 전액 부담해야 한다
",상대방에게 위자료를 지급해야 한다,34.0
이때 누가 자녀를 키울 것인가 하는 문제는 이혼한 당사자 간의 협의에 의해 결정한다.,794,이혼 후 자녀의 양육권은 어떻게 결정되는가?,"1. 이혼한 당사자 간의 협의에 의해 결정한다
2. 가정법원에서 결정한다
3. 자녀의 의사에 따라 결정한다
4. 변호사가 결정한다
",이혼한 당사자 간의 협의에 의해 결정한다,34.0
하지만 당사자 간에 협의가 잘 되지 않는 경우에는 가정법원에서 당사자들의 상황을 보고 결정하게 된다.,795,"이혼 당사자 간의 협의가 잘 이루어지지 않을 때, 자녀의 양육권은 어떻게 결정되는가?","1. 가정법원에서 결정한다
2. 자녀의 의사에 따라 결정한다
3. 변호사가 결정한다
4. 이혼한 당사자 간의 협의에 의해 결정한다
",가정법원에서 결정한다,34.0
자녀를 맡아서 키우게 된 쪽은 상대방에 대해 자녀 양육에 필요한 비용을 일정 부분 요구할 수 있다.,796,자녀를 맡아 키우게 된 쪽이 상대방에게 요구할 수 있는 것은 무엇인가?,"1. 자녀 양육에 필요한 비용
2. 이혼 비용
3. 위자료
4. 재산의 일부
",자녀 양육에 필요한 비용,34.0
자녀를 키우지 않게 된 쪽도 제한된 범위 내에서 자녀와 만나는 것이 허용된다.,797,자녀를 키우지 않게 된 쪽이 자녀와 만날 수 있는지?,"1. 제한된 범위 내에서 허용된다
2. 전혀 만날 수 없다
3. 자유롭게 만날 수 있다
4. 가정법원의 결정에 따른다
",제한된 범위 내에서 허용된다,34.0
부모가 이혼을 하더라도 부모와 자녀의 관계는 그대로 유지된다.,798,부모가 이혼을 하더라도 부모와 자녀의 관계는 어떻게 되는가?,"1. 그대로 유지된다
2. 끊어진다
3. 재판에 따라 결정된다
4. 자녀의 의사에 따라 결정된다
",그대로 유지된다,34.0
하지만 합의가 없더라도 상대방이 부정한 행위를 하는 등 배우자로서의 의무를 제대로 이행하지 않고 상대방을 고통스럽게 한 경우에는 법원의 판결을 통해 강제로 이혼 할 수도 있다.,799,합의 없이 이혼을 진행할 수 있는 경우는 어떤 경우인가?,"1. 상대방이 부정한 행위를 하거나 배우자의 의무를 이행하지 않는 경우
2. 상대방이 재산을 숨기는 경우
3. 상대방이 자녀를 학대하는 경우
4. 상대방이 외도를 하는 경우
",상대방이 부정한 행위를 하거나 배우자의 의무를 이행하지 않는 경우,34.0
소송을 통해 어떻게 권리를 보호받을 수 있을까? 외국인이 한국에서 살아가면서 다른 사람들과 분쟁을 겪는 일이 발생할 수 있다.,560,외국인이 한국에서 분쟁을 겪을 경우 어떤 방법으로 권리를 보호받을 수 있는가?,"1. A. 대화와 타협
2. B. 소송
3. C. 국가에 항의
4. D. 외국 대사관에 보고
",B. 소송,35.0
소송은 법원의 재판을 통해 분쟁을 해결하는 방식이다.,561,소송이란 무엇인가?,"1. A. 국가와의 대화를 통한 문제 해결
2. B. 법원의 재판을 통한 분쟁 해결
3. C. 변호사와의 상담을 통한 문제 해결
4. D. 개인 간의 대화를 통한 문제 해결
",B. 법원의 재판을 통한 분쟁 해결,35.0
개인들 간의 재산 문제나 가족 문제로 분쟁이 발생한 경우 분쟁의 당사자는 소송을 통해 법원의 판결을 요청할 수 있다.,562,어떤 경우에 소송을 통해 법원의 판결을 요청할 수 있는가?,"1. A. 개인 간의 재산 문제나 가족 문제
2. B. 국가와의 문제
3. C. 외국인과의 문제
4. D. 모든 경우
",A. 개인 간의 재산 문제나 가족 문제,35.0
"또한, 국가의 행위로 인해 직접적인 피해를 입거나 세금 등을 과도하게 납부하게 되었을 때에는 피해 당사자가 국가를 상대로 소송을 제기할 수 있다.",563,국가의 행위로 인해 피해를 입었을 때 어떤 조치를 취할 수 있는가?,"1. A. 국가에 항의
2. B. 국가를 상대로 소송 제기
3. C. 외국 대사관에 보고
4. D. 개인적으로 해결
",B. 국가를 상대로 소송 제기,35.0
일반적으로 소송 과정에서는 변호사와 같은 법률전문가의 도움을 받는 경우가 많다.,564,소송 과정에서 일반적으로 누구의 도움을 받는가?,"1. A. 가족
2. B. 친구
3. C. 변호사와 같은 법률전문가
4. D. 국가
",C. 변호사와 같은 법률전문가,35.0
하지만 비용 등의 문제로 변호사를 구하는데 어려움이 있다면 대한법률구조 공단과 같은 공익적인 기구 등을 통해서도 법적 도움을 받을 수 있다.,565,변호사를 구하는데 어려움이 있을 때 어디에서 도움을 받을 수 있는가?,"1. A. 국가
2. B. 외국 대사관
3. C. 대한법률구조 공단
4. D. 개인적인 연결
",C. 대한법률구조 공단,35.0
대한법률구조공단은 경제적으로 어렵거나 법을 모르기 때문에 법의 보호를 제대로 받지 못하는 사람들이 적법한 절차에 의하여 정당한 권리를 보호받을 수 있도록 하기 위한 기관이다.,566,대한법률구조공단의 주요 역할은 무엇인가?,"1. A. 법률 상담 제공
2. B. 소송 대리
3. C. 정당한 권리 보호
4. D. 모든 위의 항목
",D. 모든 위의 항목,35.0
"법률이나 소송관련 상담은 누구나 무료로 받을 수 있으며, 나아가 한국어에 서툴러 소송에 어려움을 겪고 있는 외국인이라면 민사나 형사 등의 사건소송 대리까지도 도움 받을 수 있다.",567,대한법률구조공단에서 제공하는 서비스는 무엇인가?,"1. A. 법률 상담
2. B. 소송 대리
3. C. 한국어 교육
4. D. 모든 위의 항목
",D. 모든 위의 항목,35.0
